,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0
Bathroom|Showering,0,2225,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,303,0,0,0,0,0,0,0
Bathroom|Using_the_sink,0,419,0,0,0,0,0,0,1,0,0,0,0,0,0,484,1,42,0,0,0,0,0,0,0
Bathroom|Using_the_toilet,0,0,0,24,0,0,0,0,0,0,0,0,0,7,0,161,0,1,0,22,0,0,0,0,39
Bedroom|Cleaning,0,0,0,0,0,44,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,0,0,0,228,20,11,0,0,0,0,0,2,0,9,5,0,0,2,0,0,0,0,2
Bedroom|Napping,0,1,0,0,0,10,2909,23,0,0,0,1,0,1,0,15,3,0,0,10,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,54,0,3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Entrance|Entering,0,160,0,0,0,0,3,0,31,97,0,0,0,0,0,0,0,8,0,3,0,0,0,0,8
Entrance|Leaving,0,63,0,0,0,0,0,0,7,130,0,1,0,0,0,2,0,5,0,0,0,0,0,0,6
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,46,0,0,0,0,0,0,0,0,0
Kitchen|Cooking,0,1,0,0,0,0,0,0,0,0,0,1745,0,135,0,19,2,0,0,0,1,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,21,0,264,0,38,0,0,0,0,0,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,0,936,0,32,49,0,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,190,4,0,0,0,0,0,0,0,0
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3495,9,0,0,0,0,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,21,0,114,0,1548,161,0,0,0,0,0,0,0,0
Living_room|Watching_TV,0,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,1108,0,0,0,0,0,0,0
Office|Cleaning,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76,0,0,0,0,0
Office|Computing,0,12,0,3,0,0,0,0,0,0,0,1,0,0,0,42,1,6,0,53079,0,0,0,0,6
Office|Watching_TV,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,152,1695,0,0,0,5
Staircase|Going_down,0,71,0,0,0,0,0,0,0,0,0,1,0,3,0,73,3,18,0,0,0,0,0,0,4
Staircase|Going_up,0,76,0,0,0,0,1,0,3,0,0,0,0,0,0,75,1,26,0,0,0,0,0,0,3
Toilet|Using_the_toilet,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,21,0,0,0,0,0,0,0
Transition,0,131,0,4,0,27,7,8,2,5,0,16,0,16,0,301,14,47,0,20,0,0,0,0,552
