,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,0,0,5,64,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathroom|Showering,0,2215,306,0,0,0,0,0,2,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0
Bathroom|Using_the_sink,0,142,113,89,0,0,0,0,1,0,0,1,0,0,0,128,188,259,0,0,0,0,0,0,0
Bathroom|Using_the_toilet,0,0,14,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
Bedroom|Cleaning,0,0,0,1,38,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,3,1,5,222,29,33,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0
Bedroom|Napping,0,0,0,0,0,9,2908,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
Bedroom|Reading,0,3,0,0,0,21,0,3240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,33,2,0,0,0,0,0,199,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,14
Entrance|Leaving,0,8,0,1,0,0,0,0,175,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,6
Kitchen|Cleaning,0,0,9,4,0,0,0,0,0,0,0,0,0,32,0,0,22,0,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1726,0,116,0,0,28,0,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,0,1,0,0,0,0,0,0,0,5,9,250,0,0,32,0,0,0,0,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,0,856,0,1,79,0,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,22,156,0,0,0,0,0,0,0,0
Living_room|Computing,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3258,174,0,0,0,0,0,0,0,0
Living_room|Eating,0,0,42,8,0,0,0,0,0,0,0,4,0,1,0,67,1709,0,0,1,0,0,0,0,0
Living_room|Watching_TV,0,50,70,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3932,0,0,0,0,0,0,0
Office|Cleaning,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,73,0,0,0,0,0
Office|Computing,0,4,5,24,0,0,0,0,0,0,0,0,2,0,0,1,15,16,0,53170,0,0,0,0,1
Office|Watching_TV,0,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,160,1707,0,0,0,0
Staircase|Going_down,0,40,14,15,0,2,0,0,7,0,0,0,2,0,0,3,40,52,0,0,3,0,0,0,1
Staircase|Going_up,0,50,5,8,0,0,0,0,10,0,0,0,0,0,0,30,40,60,0,0,0,0,0,2,0
Toilet|Using_the_toilet,0,13,14,0,0,0,1,0,0,0,0,0,0,0,0,19,49,16,0,0,0,0,0,12,0
Transition,0,64,47,59,0,25,12,10,11,0,0,14,1,10,0,38,197,97,0,18,7,0,0,2,602
