,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,0,0,57,9,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Bathroom|Showering,0,2689,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
Bathroom|Using_the_sink,0,414,516,2,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,13
Bathroom|Using_the_toilet,0,0,83,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
Bedroom|Cleaning,0,0,0,0,0,38,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10
Bedroom|Dressing,0,0,0,0,0,216,20,34,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,16
Bedroom|Napping,0,0,0,0,0,6,2977,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Bedroom|Reading,0,0,0,0,0,9,0,3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,258,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Entrance|Leaving,0,0,0,0,0,0,0,0,123,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,4,0,0,0,0,0,0,0,30
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1810,0,17,0,0,9,0,0,0,0,0,0,0,9
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,0,47,210,3,6,7,0,0,0,0,0,0,0,18
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,1,983,2,4,10,0,0,0,0,0,0,0,8
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,75,23,0,0,0,0,0,0,0,98
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3504,16,0,0,0,0,0,0,0,30
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,5,3,5,2,231,1531,0,0,0,0,0,0,0,72
Living_room|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3971,0,0,0,0,0,0,13
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,13,0,0,0,1
Office|Computing,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,53055,4,0,0,0,29
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,1716,0,0,0,6
Staircase|Going_down,0,0,0,0,0,0,0,0,17,0,0,0,1,1,0,3,4,0,0,0,0,49,20,0,78
Staircase|Going_up,0,1,0,0,0,0,0,0,9,0,0,0,0,5,0,5,0,9,0,0,0,11,34,0,87
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,109
Transition,0,20,11,0,0,17,17,21,13,0,0,4,1,19,8,105,59,14,0,19,2,2,3,0,828
