,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,31,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1
Bathroom|Showering,0,2561,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3
Bathroom|Using_the_sink,0,325,588,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,15,0,14
Bathroom|Using_the_toilet,0,0,34,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,1
Bedroom|Cleaning,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,0,2,1,252,8,23,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,1,8
Bedroom|Napping,0,0,0,0,0,12,2897,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,9
Bedroom|Reading,0,0,0,0,0,28,0,3257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,197,77,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14
Entrance|Leaving,0,0,0,0,0,0,0,0,17,156,0,0,0,0,0,0,1,0,0,0,0,1,1,0,15
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,6,0,0,20,39,0,0,0,0,0,0,0,0,0,1
Kitchen|Cooking,0,0,0,0,1,0,0,0,0,0,0,1864,19,6,3,0,1,0,0,0,0,0,0,1,3
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,7,0,1,247,38,1,0,3,0,0,0,0,0,0,0,5
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,52,949,16,0,3,0,0,0,0,0,0,0,7
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,4,9,136,1,13,0,0,0,0,0,3,0,21
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,3168,94,0,0,0,0,0,0,0,27
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,5,1,6,64,1,1745,0,0,0,0,0,0,0,52
Living_room|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3960,0,0,0,0,0,0,24
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,1,0,4
Office|Computing,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,24,53212,0,0,0,0,38
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1872,0,0,0,24
Staircase|Going_down,0,0,0,0,0,0,0,0,1,3,0,0,2,0,2,0,2,6,0,0,0,60,48,0,35
Staircase|Going_up,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,7,5,0,7,0,1,158,1,18
Toilet|Using_the_toilet,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,2,0,1,0,0,0,116,6
Transition,1,20,16,2,1,33,5,19,4,5,0,5,30,11,68,2,81,23,2,13,0,11,9,4,806
