,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,66,0,41,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Bathroom|Showering,0,2612,40,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Bathroom|Using_the_sink,18,226,663,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,1,3
Bathroom|Using_the_toilet,7,0,32,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,5
Bedroom|Cleaning,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,0,0,2,255,11,1,0,0,0,0,0,0,0,12,9,0,0,0,0,0,2,2,15
Bedroom|Napping,0,0,0,0,0,14,3041,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,3,2,8
Bedroom|Reading,0,0,0,0,1,39,0,3163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,1,0,0,0,0,0,0,126,176,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
Entrance|Leaving,0,0,0,0,0,0,0,0,13,165,0,2,0,0,0,1,0,0,0,0,0,0,0,0,10
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,40,0,0,21,6,0,0,0,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,1,0,0,0,0,0,0,0,1,1857,8,24,1,0,1,0,0,0,0,0,0,0,3
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,26,195,74,1,1,1,0,0,0,0,0,0,0,7
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,49,6,4,910,10,4,8,0,0,0,0,0,0,0,1
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,25,0,0,14,67,82,27,0,0,0,0,0,0,0,1
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,15,0,0,0,6,3118,318,0,0,0,0,0,2,8,2
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,12,2,0,10,14,254,1475,0,0,0,0,0,0,0,17
Living_room|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4022,0,0,0,0,0,0,8
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,2,1
Office|Computing,0,0,0,1,3,1,3,0,0,0,0,0,0,0,0,15,8,6,7,53000,0,2,2,3,21
Office|Watching_TV,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,117,1698,1,0,0,16
Staircase|Going_down,0,5,28,2,0,0,0,0,3,0,0,1,4,0,4,6,1,32,0,1,1,42,8,6,53
Staircase|Going_up,0,27,19,0,5,0,0,0,7,0,0,0,1,0,1,3,2,7,0,7,2,5,51,4,53
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,1,6,0,15,0,1,5,86,1
Transition,0,18,29,3,3,28,4,5,5,4,23,18,8,16,44,97,54,49,4,24,0,16,14,5,734
