,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,0,0,75,10,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Bathroom|Showering,0,2625,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Bathroom|Using_the_sink,0,402,481,1,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,12
Bathroom|Using_the_toilet,0,0,89,173,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9
Bedroom|Cleaning,0,0,0,0,0,30,1,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,7
Bedroom|Dressing,0,0,0,0,0,234,18,27,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,12
Bedroom|Napping,0,0,0,0,0,2,3030,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bedroom|Reading,0,0,0,0,0,7,0,3242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
Entrance|Leaving,0,1,0,0,0,0,0,0,163,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,11,0,0,0,0,0,0,0,20
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1782,2,15,0,0,6,0,0,0,0,0,0,0,8
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,0,59,243,0,3,5,0,0,0,0,0,0,0,12
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,2,961,1,1,10,0,0,0,0,0,0,0,6
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,74,36,0,0,0,0,0,0,0,63
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3390,21,0,0,0,0,0,0,0,21
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,5,1,4,3,115,1646,0,0,0,0,0,0,0,55
Living_room|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3996,0,0,0,0,1,0,19
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,0,0,0,3
Office|Computing,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,2,1,0,53219,4,0,0,0,20
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1863,0,0,0,0
Staircase|Going_down,0,3,0,0,0,0,0,0,30,0,0,1,1,1,1,3,9,0,0,1,0,47,19,0,44
Staircase|Going_up,0,0,0,0,0,0,0,0,18,0,0,0,0,2,3,11,6,10,0,1,0,14,63,0,64
Toilet|Using_the_toilet,0,0,0,0,0,0,4,0,13,0,0,0,0,0,1,2,0,4,0,1,0,0,0,0,103
Transition,0,18,29,2,0,10,15,30,27,0,0,7,3,14,7,125,72,12,0,26,9,1,1,0,750
