,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,0,0,52,21,0,15,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Bathroom|Showering,0,2617,53,3,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Bathroom|Using_the_sink,0,485,157,52,0,0,2,0,1,0,0,0,0,0,0,250,0,0,0,0,0,0,0,1
Bathroom|Using_the_toilet,0,1,35,116,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0
Bedroom|Cleaning,0,0,0,0,17,25,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,2,0,0,266,17,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bedroom|Napping,0,0,0,2,0,14,2963,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,113,0,3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,11,0,2,0,0,5,0,177,58,0,11,0,5,0,0,0,1,0,0,0,5,2,0
Entrance|Leaving,0,11,0,6,0,0,1,0,36,137,0,3,0,0,0,0,0,0,0,0,2,1,0,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,1,53,13,0,0,3,0,0,0,0,4,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1606,26,120,96,9,0,3,0,0,1,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,3,0,0,0,0,35,63,125,53,9,0,6,0,0,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,4,55,835,99,3,0,1,0,0,0,0,2,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,13,27,107,40,6,5,1,0,1,0,0,1,0
Living_room|Computing,0,0,97,0,0,0,5,0,0,0,0,7,33,90,23,3047,112,0,0,0,0,0,0,0
Living_room|Eating,0,0,16,0,0,0,0,0,0,0,0,3,10,61,26,1033,691,0,0,0,0,1,0,0
Living_room|Watching_TV,0,102,54,44,0,0,0,0,1,1,0,9,0,14,0,1,0,3587,0,0,82,0,3,28
Office|Cleaning,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
Office|Computing,0,6,5,12,0,0,10,0,0,0,0,1,0,0,0,17,0,9,0,53319,1,0,0,1
Office|Watching_TV,0,4,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,170,1722,0,0,0
Staircase|Going_down,0,56,3,14,0,0,9,0,8,0,0,2,2,10,11,21,0,6,0,1,13,3,7,0
Staircase|Going_up,0,48,12,2,0,0,2,0,5,0,0,1,7,33,6,44,0,13,0,1,0,3,4,8
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,64,0,1,0,0,11,0,0,26
