,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,21,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0
Bathroom|Showering,0,2474,107,0,0,0,3,0,2,0,0,0,0,0,0,0,0,28,0,4,0,3,0,0
Bathroom|Using_the_sink,18,259,198,1,0,3,47,0,1,0,0,0,0,0,0,136,53,35,0,156,2,1,0,0
Bathroom|Using_the_toilet,0,0,0,83,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,146,8,0,0,0
Bedroom|Cleaning,1,0,0,0,0,32,8,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0
Bedroom|Dressing,0,0,3,1,0,163,20,68,0,0,0,0,0,0,0,5,1,0,0,7,0,0,0,0
Bedroom|Napping,0,1,0,0,0,6,2916,3,0,0,0,0,0,0,0,53,0,0,0,3,0,0,0,0
Bedroom|Reading,0,0,0,0,0,48,0,3260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,41,0,0,0,0,0,0,148,64,0,0,0,0,0,0,6,14,0,5,0,0,0,0
Entrance|Leaving,0,12,0,0,0,0,0,0,69,95,0,0,0,0,0,0,0,2,0,5,0,0,0,0
Kitchen|Cleaning,0,0,2,0,0,0,0,0,0,0,0,0,0,34,0,2,23,0,0,3,0,0,0,0
Kitchen|Cooking,0,0,2,0,0,0,0,0,0,0,0,1719,24,42,0,0,20,0,0,2,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,10,175,50,0,0,22,0,0,15,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,2,0,0,0,0,1,73,817,0,7,84,0,0,1,0,0,0,0
Living_room|Cleaning,0,0,1,0,0,0,10,0,0,0,0,0,0,5,1,22,136,0,0,10,0,0,0,0
Living_room|Computing,0,0,4,0,0,1,48,0,0,0,0,0,0,0,0,3267,147,0,0,26,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,10,0,0,0,0,3,0,5,0,166,1645,0,0,56,12,0,0,0
Living_room|Watching_TV,0,288,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3762,0,0,0,0,0,0
Office|Cleaning,0,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,61,11,0,0,0
Office|Computing,0,2,6,26,0,0,158,0,2,0,0,0,2,0,0,45,2,14,0,52125,828,0,0,1
Office|Watching_TV,0,7,1,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,414,1493,0,0,0
Staircase|Going_down,0,23,37,0,0,0,0,0,29,3,0,0,2,0,0,1,22,14,0,41,5,1,1,0
Staircase|Going_up,0,37,21,0,0,1,6,0,13,0,0,0,0,0,0,32,21,45,0,16,0,0,0,4
Toilet|Using_the_toilet,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,30,3,12,0,36,0,0,0,11
