,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,24,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Bathroom|Showering,0,2337,269,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,1,1,2,4,0
Bathroom|Using_the_sink,0,34,902,1,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,1,0
Bathroom|Using_the_toilet,0,0,48,225,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0
Bedroom|Cleaning,0,0,0,0,47,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Bedroom|Dressing,0,0,0,0,0,201,21,61,0,0,0,0,0,0,0,3,8,0,0,0,0,0,1,0
Bedroom|Napping,0,0,1,0,0,11,2924,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,13,0,3245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,317,9,0,0,0,0,0,0,7,15,0,0,0,1,2,0
Entrance|Leaving,0,0,0,0,0,0,0,0,62,132,0,0,3,0,1,0,4,8,0,0,0,1,1,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9,0,0,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,0,1,0,0,0,1685,64,43,1,0,2,0,0,18,0,0,0,0
Kitchen|Preparing,0,0,0,0,5,0,0,0,0,0,0,11,225,36,14,2,2,1,0,8,0,0,1,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,7,7,979,18,4,6,1,0,3,0,1,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,2,38,124,10,8,8,0,0,0,0,0,0
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,3,14,56,3349,11,1,0,0,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,4,9,27,38,21,1662,1,0,1,0,0,0,0
Living_room|Watching_TV,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4022,0,2,0,5,0,0
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1,2,0,0,0
Office|Computing,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,2,53213,0,3,0,0
Office|Watching_TV,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,116,1775,0,0,0
Staircase|Going_down,0,0,0,0,0,0,0,0,4,0,0,0,9,3,6,5,4,26,0,3,2,108,23,0
Staircase|Going_up,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,8,7,1,7,0,9,143,1
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,2,0,1,0,3,0,107
