,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,0,2,9,0,0,9,1,7,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0
Bathroom|Showering,0,2560,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathroom|Using_the_sink,0,432,65,0,0,0,14,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0
Bathroom|Using_the_toilet,0,0,40,0,0,0,17,0,0,0,0,0,0,0,0,156,0,0,0,23,0,0,0,0
Bedroom|Cleaning,0,1,3,0,0,14,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedroom|Dressing,0,1,4,0,0,87,22,184,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Bedroom|Napping,0,0,4,0,0,8,2958,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,0,0,3248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,111,1,0,0,0,0,0,204,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0
Entrance|Leaving,0,83,0,0,0,0,0,0,103,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,18,15,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1815,0,76,0,6,12,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,1,0,0,0,0,0,0,0,0,0,0,241,0,16,32,0,0,0,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,0,930,0,5,11,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,85,88,0,0,0,0,0,0,0
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3379,93,0,0,0,0,0,0,0
Living_room|Eating,0,0,37,0,0,0,0,0,0,0,0,22,0,113,0,752,900,0,0,0,0,0,0,0
Living_room|Watching_TV,0,19,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,3929,0,0,0,0,0,0
Office|Cleaning,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,8,0,0,0
Office|Computing,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,53199,14,0,0,0
Office|Watching_TV,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,1712,0,0,0
Staircase|Going_down,0,73,3,0,0,0,0,0,8,0,0,0,0,0,0,45,15,0,0,0,0,0,0,0
Staircase|Going_up,0,58,9,0,0,0,0,0,7,0,0,0,0,0,0,79,13,15,0,0,0,0,0,0
Toilet|Using_the_toilet,0,29,15,0,0,0,0,0,0,0,0,0,0,0,0,74,2,3,0,0,0,0,0,0
