,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,63,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bathroom|Showering,0,2469,127,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,5,0,0,4,0
Bathroom|Using_the_sink,39,220,667,4,0,0,0,0,1,1,0,0,0,0,0,2,7,0,0,0,0,0,1,1
Bathroom|Using_the_toilet,22,0,14,243,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bedroom|Cleaning,0,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0
Bedroom|Dressing,0,0,1,0,9,221,10,38,0,0,0,0,0,0,0,1,9,0,0,5,0,0,20,0
Bedroom|Napping,0,0,0,1,0,13,2922,3,0,0,0,0,0,0,0,0,24,0,0,2,0,0,3,0
Bedroom|Reading,0,0,0,0,8,28,0,3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,229,44,0,0,0,0,0,0,6,7,0,0,0,0,6,0
Entrance|Leaving,0,0,0,0,0,0,0,0,16,167,1,0,0,0,0,1,11,1,0,2,0,1,3,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,26,0,0,36,3,2,0,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1796,15,20,3,0,4,0,0,0,0,0,2,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,4,10,210,77,6,1,1,0,0,0,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,4,4,87,898,18,3,10,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,20,0,13,2,75,36,22,0,0,0,0,0,0,0
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,4,0,0,0,35,3348,30,0,0,0,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,9,1,4,11,45,13,1709,0,0,0,0,0,0,0
Living_room|Watching_TV,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4070,0,2,0,2,0,0
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,18,0,0,1,0
Office|Computing,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,18,1,10,53220,0,0,3,7
Office|Watching_TV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,1877,4,9,0
Staircase|Going_down,0,0,0,0,0,0,0,0,4,2,0,8,3,1,4,0,8,20,0,8,0,68,61,1
Staircase|Going_up,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,5,5,14,0,6,0,11,143,1
Toilet|Using_the_toilet,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,3,2,4,0,0,0,0,1,92
