,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,78,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
Bathroom|Showering,0,2513,150,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
Bathroom|Using_the_sink,40,286,606,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,1,3,0
Bathroom|Using_the_toilet,7,0,9,260,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
Bedroom|Cleaning,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0
Bedroom|Dressing,0,0,1,0,11,211,4,18,0,0,0,0,0,0,0,1,38,0,0,0,0,0,1,0
Bedroom|Napping,0,0,0,0,1,17,2932,2,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,0
Bedroom|Reading,0,0,0,0,0,51,0,3215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,249,62,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Entrance|Leaving,0,0,1,0,0,0,0,0,105,87,0,0,0,0,1,0,8,0,0,0,1,2,0,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,19,0,0,11,30,0,0,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,3,0,0,0,0,0,0,0,0,1794,17,5,8,0,0,1,0,0,0,0,1,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,10,2,199,88,10,0,0,0,0,0,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,12,1,36,939,23,0,1,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,1,0,0,0,0,0,0,0,11,171,0,20,0,0,0,0,0,2,0
Living_room|Computing,0,0,0,0,0,3,0,0,0,0,0,0,0,0,104,3336,36,0,0,0,0,0,0,0
Living_room|Eating,0,0,3,0,0,1,0,0,0,0,0,3,2,9,77,0,1753,1,0,0,0,3,14,0
Living_room|Watching_TV,0,0,5,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3976,2,0,3,25,1,0
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,29,2,0,0,0
Office|Computing,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,16,2,48,53020,5,10,1,19
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,124,1691,16,0,0
Staircase|Going_down,0,0,1,0,0,0,0,0,9,0,0,0,3,0,10,0,4,5,1,3,8,77,59,0
Staircase|Going_up,0,0,0,0,0,1,0,0,10,0,0,0,0,0,5,0,9,3,3,3,2,62,109,5
Toilet|Using_the_toilet,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,3,1,0,0,0,1,0,101
