,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,0,0,70,6,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathroom|Showering,0,2521,154,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0
Bathroom|Using_the_sink,0,278,602,2,0,0,4,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
Bathroom|Using_the_toilet,0,0,154,126,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Bedroom|Cleaning,0,0,0,0,0,4,1,39,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,0,0,0,100,37,186,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0
Bedroom|Napping,0,0,0,0,0,3,2960,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,0,0,3182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,2,0,267,36,0,0,0,0,1,0,3,1,0,0,0,1,3,0
Entrance|Leaving,0,0,0,0,0,0,0,0,73,128,0,0,0,0,0,1,2,0,0,0,1,1,1,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,2,44,6,0,22,2,0,0,0,1,7,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1869,2,21,0,0,2,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,0,57,232,7,6,7,0,0,0,0,0,1,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,3,934,12,6,14,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,1,6,66,52,45,0,0,0,0,1,5,0
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3324,42,0,0,0,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,2,2,2,36,180,1600,0,0,0,0,0,0,0
Living_room|Watching_TV,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4024,0,0,0,1,2,0
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,3,0,0,0
Office|Computing,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,4,3,0,53223,1,0,5,7
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1862,0,0,0
Staircase|Going_down,0,0,0,0,0,0,5,0,44,0,0,0,4,4,2,0,18,1,0,1,1,50,37,1
Staircase|Going_up,0,0,1,0,0,0,14,0,18,0,0,0,5,2,7,6,39,17,0,0,0,14,85,2
Toilet|Using_the_toilet,0,0,0,0,0,0,18,0,11,0,0,0,0,0,6,2,3,8,0,0,0,5,0,80
