,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0
Bathroom|Showering,0,2576,26,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,1,1,0
Bathroom|Using_the_sink,33,151,636,15,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,4,0,0,2,0
Bathroom|Using_the_toilet,2,1,12,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0
Bedroom|Cleaning,0,0,0,0,43,7,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,0,0,0,259,6,33,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0
Bedroom|Napping,0,0,0,0,0,10,3016,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,10,0,3308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,3,0,0,0,1,0,275,27,0,0,0,0,0,1,5,9,0,0,0,3,1,0
Entrance|Leaving,0,1,0,0,0,0,0,0,22,142,0,0,0,0,0,0,0,0,0,1,0,10,2,0
Kitchen|Cleaning,0,0,0,0,0,0,0,3,0,0,54,0,0,0,4,0,0,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,1,1,2,0,0,0,0,1849,29,5,0,2,14,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,2,0,0,0,0,0,0,0,0,3,280,0,0,2,1,0,0,1,0,2,0,0
Kitchen|Washing_the_dishes,0,0,1,0,1,1,0,4,0,0,7,7,0,910,10,7,12,0,0,0,0,0,1,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,10,1,0,8,126,28,29,1,0,0,0,0,0,0
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,3385,20,0,0,0,0,0,1,0
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,2,1,1,4,9,5,1768,0,0,1,0,0,0,0
Living_room|Watching_TV,0,3,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,4001,0,0,0,1,4,0
Office|Cleaning,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,28,4,0,0,0
Office|Computing,0,0,1,0,0,1,4,0,0,0,0,1,1,0,0,3,1,2,0,53333,2,0,3,0
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,25,1790,0,1,0
Staircase|Going_down,0,0,4,0,0,0,0,0,2,0,0,0,8,0,0,0,0,3,0,4,1,106,23,0
Staircase|Going_up,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,3,3,5,0,4,3,3,164,1
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,2,92
