,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,67,1,24,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0
Bathroom|Showering,1,2593,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Bathroom|Using_the_sink,11,138,724,19,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,2,0
Bathroom|Using_the_toilet,4,2,8,245,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bedroom|Cleaning,0,0,0,0,29,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,0,0,0,254,2,20,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0
Bedroom|Napping,0,0,0,0,0,16,2952,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,4,0,3305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,1,0,0,0,0,0,209,96,0,4,1,0,0,0,0,4,0,0,0,5,1,0
Entrance|Leaving,0,0,0,0,0,1,0,0,8,161,0,0,0,1,0,0,0,3,0,0,1,4,0,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,59,0,0,2,3,3,0,2,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1801,21,0,1,0,9,4,0,0,0,1,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,1,274,4,5,0,2,0,0,0,0,2,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,6,53,929,6,7,5,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,2,0,2,7,101,51,32,5,0,0,0,0,0,0
Living_room|Computing,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,3305,25,1,0,0,0,0,0,0
Living_room|Eating,0,0,0,0,0,2,0,0,0,0,2,3,0,4,4,8,1756,1,0,0,0,0,1,0
Living_room|Watching_TV,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,4009,0,0,0,2,0,0
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,25,6,0,0,0
Office|Computing,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,2,2,3,53341,14,0,1,0
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,39,1840,1,0,0
Staircase|Going_down,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,6,8,0,0,0,127,1,0
Staircase|Going_up,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7,5,8,0,3,6,9,167,0
Toilet|Using_the_toilet,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,3,1,0,3,0,0,0,103
