,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,10,0,55,0,0,23,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1
Bathroom|Showering,0,2535,128,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0
Bathroom|Using_the_sink,0,165,737,6,0,1,0,0,0,1,0,0,0,0,0,16,0,0,1,0,0,1,10,1
Bathroom|Using_the_toilet,0,0,23,204,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,3
Bedroom|Cleaning,0,0,0,0,28,8,0,1,0,0,0,13,0,1,0,0,1,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,1,0,1,261,11,21,0,0,0,1,4,0,0,2,0,0,0,0,0,0,2,1
Bedroom|Napping,0,0,0,0,0,15,2981,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,7,0,3310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,158,118,0,0,0,0,1,0,0,0,0,0,0,2,0,0
Entrance|Leaving,0,0,1,0,0,0,0,0,24,147,0,0,2,0,0,4,0,0,0,0,0,2,1,1
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,1,34,26,1,3,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1866,30,7,2,0,12,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,1,0,0,0,0,4,270,2,0,6,0,1,0,0,0,3,2,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,18,935,19,0,6,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,1,10,176,13,9,2,0,0,0,0,0,0
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3350,16,0,0,0,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,1,12,2,58,67,1693,1,0,0,0,0,0,0
Living_room|Watching_TV,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,4000,0,0,0,1,2,0
Office|Cleaning,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,38,5,0,0,0
Office|Computing,0,0,3,1,0,2,4,0,0,0,0,0,0,0,0,2,2,2,24,53096,7,5,1,8
Office|Watching_TV,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,19,1880,4,1,0
Staircase|Going_down,0,0,0,0,0,0,0,0,9,3,0,1,9,0,1,8,1,4,0,2,0,23,115,9
Staircase|Going_up,0,0,2,0,0,0,0,0,6,1,0,0,1,0,3,1,4,5,1,0,1,7,159,6
Toilet|Using_the_toilet,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,1,4,0,0,0,0,0,0,87
