,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,0,0,69,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Bathroom|Showering,0,2559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Bathroom|Using_the_sink,0,476,426,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
Bathroom|Using_the_toilet,0,8,230,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0
Bedroom|Cleaning,0,0,0,0,0,0,6,42,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,0,0,0,0,29,241,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Bedroom|Napping,0,0,0,0,0,0,2955,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,0,0,3178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,200,42,0,1,0,2,0,5,3,61,0,0,0,7,0,0
Entrance|Leaving,0,0,0,0,0,0,4,1,59,84,0,0,0,2,0,0,0,37,0,0,0,1,0,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,18,0,29,0,0,24,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1847,0,39,0,0,7,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,13,3,247,0,5,25,0,0,0,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,32,0,930,0,1,18,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,41,137,0,0,0,0,0,0,0
Living_room|Computing,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3325,186,0,0,0,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,828,974,0,0,0,0,0,0,0
Living_room|Watching_TV,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3975,0,0,0,0,0,0
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,59,14,0,0,0
Office|Computing,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,27,1,9,0,53348,2,0,0,0
Office|Watching_TV,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,0,21,1800,3,0,0
Staircase|Going_down,0,0,6,0,0,0,5,0,42,3,0,3,2,8,0,29,24,46,0,3,1,10,0,0
Staircase|Going_up,0,0,5,0,0,0,0,0,51,0,0,0,1,6,0,58,32,50,0,1,0,1,0,0
Toilet|Using_the_toilet,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,74,3,27,0,0,0,0,0,0
