,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,56,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Bathroom|Showering,0,2281,338,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,8
Bathroom|Using_the_sink,36,169,678,4,0,1,0,0,0,0,0,0,0,0,0,9,1,3,0,0,0,0,0,4,22
Bathroom|Using_the_toilet,0,0,27,234,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,4
Bedroom|Cleaning,0,0,0,0,37,9,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0
Bedroom|Dressing,0,0,0,0,3,146,24,83,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,2,2
Bedroom|Napping,0,0,1,0,0,6,2951,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
Bedroom|Reading,0,0,0,0,0,4,0,3189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,163,134,0,0,0,0,0,0,0,4,0,0,0,6,0,0,4
Entrance|Leaving,0,0,0,0,0,0,0,0,23,169,0,0,0,0,0,0,0,1,0,0,0,3,0,0,11
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,35,0,2,25,10,0,0,0,0,0,0,0,0,0,1
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1786,35,8,0,0,6,0,0,0,0,0,0,0,4
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,6,228,14,9,0,10,0,0,0,0,0,0,1,1
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,2,37,931,15,1,1,0,0,0,0,0,0,0,1
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,3,0,0,9,121,35,9,0,0,0,0,0,0,0,2
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,3453,53,0,0,0,0,0,0,0,5
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,2,4,4,36,324,1416,0,0,0,0,0,0,0,5
Living_room|Watching_TV,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,4072,0,0,1,2,1,0,15
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,20,5,0,0,0,4
Office|Computing,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,4,24,53126,13,1,0,8,16
Office|Watching_TV,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,28,1864,1,0,1,6
Staircase|Going_down,0,0,0,1,0,1,0,0,18,2,0,2,2,0,2,2,8,1,0,2,0,94,6,10,27
Staircase|Going_up,0,1,2,1,0,0,0,0,3,4,0,0,0,0,19,31,7,2,0,0,0,18,13,13,78
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16,2,0,0,0,0,5,0,76,0
Transition,3,11,19,14,0,9,29,30,7,5,1,12,17,3,71,104,49,7,3,26,0,6,8,23,732
