,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,70,2,2,1,1,11,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5
Bathroom|Showering,0,2523,56,2,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,1,2
Bathroom|Using_the_sink,18,129,705,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10
Bathroom|Using_the_toilet,1,1,9,269,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Bedroom|Cleaning,0,0,0,0,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
Bedroom|Dressing,2,0,0,0,27,228,3,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,11
Bedroom|Napping,1,0,0,0,0,15,2982,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15
Bedroom|Reading,0,0,0,0,9,8,0,3305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,301,23,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6
Entrance|Leaving,0,0,0,0,0,0,0,0,34,134,0,1,0,0,0,0,3,3,0,0,1,1,0,0,9
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,56,0,0,2,4,0,0,0,0,0,0,0,0,0,0
Kitchen|Cooking,0,1,0,0,0,0,0,0,0,1,1,1859,28,5,0,1,7,8,0,0,0,0,0,0,2
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,1,0,262,20,7,1,0,1,0,0,0,0,0,0,11
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,6,3,15,966,8,0,2,0,0,0,0,0,0,0,5
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,5,0,3,5,136,7,9,1,0,0,0,0,0,0,26
Living_room|Computing,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,3364,19,0,0,0,0,0,0,0,32
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,1,2,6,4,8,5,1835,0,0,0,0,0,0,0,27
Living_room|Watching_TV,0,0,0,0,0,0,0,0,2,4,0,1,1,2,0,0,0,4071,0,0,0,1,2,0,1
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,11,0,0,0,1
Office|Computing,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,32,52849,25,0,1,0,31
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1864,0,0,0,12
Staircase|Going_down,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,1,3,0,0,0,121,18,0,29
Staircase|Going_up,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,2,2,5,0,1,0,2,151,0,24
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,107,3
Transition,6,9,19,4,2,12,3,15,11,2,6,5,31,9,59,18,45,22,2,20,2,16,10,1,844
