,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,0,0,66,5,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bathroom|Showering,0,2569,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
Bathroom|Using_the_sink,0,428,464,2,0,0,2,0,1,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,13
Bathroom|Using_the_toilet,0,11,74,148,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1
Bedroom|Cleaning,0,0,0,0,0,19,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Bedroom|Dressing,0,0,0,0,0,38,15,233,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,7
Bedroom|Napping,0,0,0,0,0,1,2961,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,0,0,3243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,272,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Entrance|Leaving,0,0,0,0,0,0,0,0,171,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,7,0,0,0,0,0,0,0,27
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1846,0,22,0,0,6,0,0,0,0,0,0,0,4
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,1,36,222,1,1,0,0,0,0,0,0,0,0,24
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,0,981,0,2,10,0,0,0,0,0,0,0,10
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,64,49,0,0,0,0,0,0,0,66
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3360,56,0,0,0,0,0,0,0,11
Living_room|Eating,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,134,1579,0,0,0,0,0,0,0,45
Living_room|Watching_TV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3998,0,0,0,0,0,0,13
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79,0,0,0,0,5
Office|Computing,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,53342,0,0,0,0,18
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1866,0,0,0,2
Staircase|Going_down,0,0,0,0,0,0,0,0,58,0,0,0,2,0,0,1,4,1,0,0,6,29,5,0,69
Staircase|Going_up,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,1,3,21,0,0,0,2,9,0,149
Toilet|Using_the_toilet,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,22,2,4,0,0,0,0,0,0,88
Transition,0,26,26,0,0,2,23,41,30,2,0,12,0,17,0,90,83,25,0,29,8,2,0,0,766
